өңір,температура,тұздылық,pH,кіру_қысымы,шығыс_қысымы,энергия_шығыны,операциялық_шығын
Алматы,20.26,2685.77,7.33,4.51,4.66,4.45,0.5
Атырау,32.65,9547.87,6.98,4.69,10.0,4.91,0.56
Ақтөбе,22.78,4155.0,7.13,4.59,7.71,4.69,0.53
Жамбыл,24.87,3665.99,7.18,4.43,6.92,4.6,0.52
Маңғыстау,34.72,10871.11,7.0,4.54,10.0,4.95,0.55
Павлодар,17.85,3283.69,7.24,4.36,5.82,4.28,0.49
Солтүстік Қазақстан,17.36,1870.02,7.32,4.66,2.99,4.24,0.49
Түркістан,31.29,6626.23,7.14,4.59,9.98,4.81,0.54
Шымкент,30.91,5292.59,7.18,4.8,9.61,4.79,0.54
Қызылорда,31.8,7321.23,7.02,4.51,10.0,4.92,0.56
